,airline_sentiment,text,tweet_created,tweet_location,score,one_hot_score
29,neutral,@southwestair ceo using #vegas band to help ‘connect’ to people. http://t.co/89gkyuf1qh  #aviation #business #marketing #consumermarketing,2015-02-22 05:55:19 -0800,NYC | DC | Charlotte | Vegas,0,"[0, 1, 0]"
30,neutral,@united unfortunately still on the tarmac at @fly2ohare and definitely missing my ride from @flypdx #gonnabealongnight,2015-02-23 21:21:08 -0800,,0,"[0, 1, 0]"
31,neutral,"@united death in the family cannot make flight tomorrow. phone rep quoted $440 per person fee, which is almost the cost of ticket. help?",2015-02-19 09:47:24 -0800,Brooklyn,0,"[0, 1, 0]"
32,positive,"@americanair mission accomplished today, thank you!",2015-02-24 05:39:19 -0800,Indianapolis,1,"[0, 0, 1]"
33,positive,@jetblue you can't beat jetblue in space's matter http://t.co/nrpwmgyv3e,2015-02-21 13:37:24 -0800,,1,"[0, 0, 1]"
34,neutral,@southwestair gimme,2015-02-22 17:27:36 -0800,seattle,0,"[0, 1, 0]"
35,positive,@united thank you!,2015-02-23 09:10:25 -0800,,1,"[0, 0, 1]"
36,neutral,@united what are the chances of my flight to ewr from pit being cancelled flighted tomorrow?,2015-02-22 19:02:14 -0800,,0,"[0, 1, 0]"
37,negative,"@united my luggage is set to go to dca however, i am rerouted to dulles. currently in nolo however bags are in houston. can you fix this?",2015-02-21 20:55:24 -0800,,-1,"[1, 0, 0]"
38,neutral,@united currently on standby to lax then it is a 2 hour ride to palm springs. long day starting at a snowy 3:30 am in philly.,2015-02-17 13:22:29 -0800,All Over The World,0,"[0, 1, 0]"
39,neutral,@southwestair microsecond too late flight so very very sad 😂😂😂😂😂😭😭😭😭😢😢😢😢,2015-02-21 12:01:28 -0800,,0,"[0, 1, 0]"
40,neutral,@jetblue will we be able to watch the oscars on our flight tomorrow?,2015-02-21 15:14:46 -0800,,0,"[0, 1, 0]"
41,negative,@united thanks kp.  what's going on w/4840 tonight.  bad update online and phone. can't u give customers good info. not waste their time?!,2015-02-19 18:48:33 -0800,DC/SF/BFLO,-1,"[1, 0, 0]"
42,negative,@united i think you should board from the back of the plane #whatstheholdup #chitocle,2015-02-20 11:39:01 -0800,"Cleveland, OH",-1,"[1, 0, 0]"
43,negative,"@united, no. re-booked with american and united said they'd transfer our bags to them.",2015-02-22 11:28:23 -0800,STL,-1,"[1, 0, 0]"
44,neutral,@usairways @vincesviews  there are significant number of folks on 686 connecting to 599 a few minutes hold would make many happy,2015-02-23 16:03:00 -0800,"San Jose, Ca",0,"[0, 1, 0]"
45,negative,@united your helpful agents in club helped.  i am just out baggage fees and a night of my life.stop doing business with @silverairways,2015-02-23 15:26:59 -0800,,-1,"[1, 0, 0]"
46,negative,@united flight 433 lets go you look like clowns no one is giving up 1st class for $500,2015-02-23 06:17:51 -0800,"Needham, MA",-1,"[1, 0, 0]"
47,positive,@southwestair  thanks for adding passbook ability! hopefully we can do group passbook tickets in the future somehow.,2015-02-23 09:30:06 -0800,,1,"[0, 0, 1]"
48,positive,@usairways - so far so good this week. sav to clt boarded before the departure time (first time in 4 weeks). perhaps an on time departure?!,2015-02-19 09:40:33 -0800,,1,"[0, 0, 1]"
49,positive,@southwestair hello #southwestair i'm  happy to be flying with you this morning dal-mdw #4053 looking forward to a comfortable fight,2015-02-21 07:56:14 -0800,"Dallas, TX Memphis, TN, MS",1,"[0, 0, 1]"
50,negative,@united &amp; finally he was told he couldnt use the front of plane restrm (he was row7) though myself/others in rows behind him used w/no issue,2015-02-21 17:38:35 -0800,"Milwaukee, WI",-1,"[1, 0, 0]"
51,negative,@united was that english? i'll dm though i don't think you'll make a plane appear.,2015-02-23 09:00:47 -0800,"San Diego, CA",-1,"[1, 0, 0]"
52,positive,"@united thx off the response, finally got through the 45 min wait and talked to someone.",2015-02-22 13:50:24 -0800,San Francisco Bay Area,1,"[0, 0, 1]"
53,positive,@southwestair thank you for always going above and beyond with your customer service!!!!!! #favoriteairline #luvforsw #southwestair,2015-02-19 09:33:14 -0800,,1,"[0, 0, 1]"
54,negative,@united flight:ua1750 is basically a prison on the runway @ sfo 6delays 4hrs of sitting no water no answers. reminded y i hate this airline,2015-02-21 15:24:08 -0800,"San Francisco, CA",-1,"[1, 0, 0]"
55,neutral,"@usairways if i apply for ur credit card, do you automatically get the companion certificate or do i have to wait for it?",2015-02-23 12:42:45 -0800,,0,"[0, 1, 0]"
56,negative,"@united it's not getting any better. i'd suggest you get a senior manager to this gate , then retrain these gate people",2015-02-23 10:13:37 -0800,"CT, NY and most other states",-1,"[1, 0, 0]"
57,positive,@southwestair thanks to your team for dealing with flight 1700 to houston.,2015-02-24 05:45:20 -0800,"Boston, MA",1,"[0, 0, 1]"
58,neutral,@united...do you still have flat tire policy.  shuttle broke down on way to ord.  will probably miss the 425pm to cle...help please!!,2015-02-22 13:52:10 -0800,"Erie, PA",0,"[0, 1, 0]"
59,neutral,@united any news?,2015-02-19 07:19:22 -0800,,0,"[0, 1, 0]"
60,positive,@jetblue thanks for the $100 credit because of the 4hr delay. i can tell customer service means a lot to you #thankful,2015-02-20 09:05:19 -0800,The Eastside of the Far Side,1,"[0, 0, 1]"
61,negative,@united not once did #us3645 leave #ord on time this week #shameful,2015-02-19 19:36:10 -0800,Ottawa/St.Louis,-1,"[1, 0, 0]"
62,positive,@americanair thanks 😩. idk if it still late flight but i hope i get it tonight 😭,2015-02-23 17:25:02 -0800,☀️SoFla☀️,1,"[0, 0, 1]"
63,neutral,@virginamerica may start service to hawaii from #sanfrancisco this year http://t.co/ypo7nyprzl #biztravel,2015-02-20 00:30:42 -0800,,0,"[0, 1, 0]"
64,positive,@usairways thanks :),2015-02-18 07:41:17 -0800,"Melbourne, Australia",1,"[0, 0, 1]"
65,neutral,@jetblue no m'good. just get me home,2015-02-22 16:03:41 -0800,Boston,0,"[0, 1, 0]"
66,positive,"@united flight experiences r often frustrating, but 2day on ua5184 from chi to wpg flight attendant april was #amazing! she's 1 of the best!",2015-02-20 15:39:06 -0800,"Winnipeg, MB Canada",1,"[0, 0, 1]"
67,positive,@virginamerica i luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? i'm not a caffeine drinker,2015-02-18 10:49:22 -0800,,1,"[0, 0, 1]"
68,positive,@united thanks!,2015-02-20 10:52:43 -0800,YHZ,1,"[0, 0, 1]"
69,positive,"“@usairways: @jdbwaffles we're excited to have you fly with us, jb! when will this be?” spring break !!!",2015-02-19 21:09:44 -0800,,1,"[0, 0, 1]"
70,positive,"@united yes, they did. must have fixed the broken ramp. thanks!",2015-02-21 15:25:53 -0800,"Virginia/Metro Washington, DC",1,"[0, 0, 1]"
71,negative,@united how does that make a flight takeoff on time? and regardless it makes me late flight because now i have to wait for my bag at baggage claim.,2015-02-21 18:11:43 -0800,Chicago,-1,"[1, 0, 0]"
72,negative,@united how can a plane that has been sitting in a hanger all day have numerous mechanical problems. doesn't anyone actually do maintenance,2015-02-22 16:14:47 -0800,,-1,"[1, 0, 0]"
73,positive,@jetblue thank you will do!! you guy are awesome!,2015-02-19 07:12:19 -0800,,1,"[0, 0, 1]"
74,neutral,@jetblue so yesterday a flight i wanted to chicago was on sale within my points range and today it isn't. any way you guys can still honor,2015-02-21 12:16:05 -0800,Mannahatta,0,"[0, 1, 0]"
75,negative,"@united additionally, my husband paid for tv service &amp; it stopped working about halfway through the flight.",2015-02-21 17:32:43 -0800,"Milwaukee, WI",-1,"[1, 0, 0]"
76,negative,@united so they didn't drop my bag overnight &amp; now i'm leaving for a week. this is why you were supposed to hold on to the bag....,2015-02-24 06:12:23 -0800,"Boulder, CO",-1,"[1, 0, 0]"
77,neutral,@jetblue i would like the actual email address so i can follow up. thank you.,2015-02-23 08:02:38 -0800,"Muttontown, NY",0,"[0, 1, 0]"
78,neutral,@virginamerica i miss the #nerdbird in san jose,2015-02-18 06:58:11 -0800,"San Jose, California
",0,"[0, 1, 0]"
79,neutral,@jetblue tell the truth - this is a pic of your social media community managers isn't it? http://t.co/e2axlqzwvh,2015-02-23 11:21:53 -0800,NJ and NYC,0,"[0, 1, 0]"
80,negative,.@united not what's been shared by the pilot with passengers!,2015-02-23 05:51:11 -0800,,-1,"[1, 0, 0]"
81,neutral,@usairways did you know that suicide is the second leading cause of death among teens 10-24,2015-02-24 10:48:36 -0800,1/1 loner squad,0,"[0, 1, 0]"
82,positive,@usairways looks like our bag has been rescued. thanks!,2015-02-22 20:53:51 -0800,,1,"[0, 0, 1]"
83,negative,@united 40 minutes on tarmac now. that's after 9 hour delay.,2015-02-22 22:48:08 -0800,,-1,"[1, 0, 0]"
84,negative,"@united that's still one day over my visa expiring on june 9, which is why i booked my flight on that day.",2015-02-20 12:11:52 -0800,"Brighton, UK",-1,"[1, 0, 0]"
85,neutral,"@united, understandable. i did try flight booking problems several times for 2 passengers &amp; got the messages i mentioned before. as for the agents price???",2015-02-18 15:11:24 -0800,,0,"[0, 1, 0]"
86,negative,@united system failure again = bad trend.  software projects are like flying an airplane; there's no such thing as an emergency takeoff.,2015-02-23 18:45:32 -0800,,-1,"[1, 0, 0]"
87,positive,@usairways thanks! it's hectic for everyone but their actions don't represent the company well imo,2015-02-17 18:59:38 -0800,Cincinnati,1,"[0, 0, 1]"
88,negative,@united i interviewed yesterday as a flight attendant i was the last person the recruiter said they lost my file n came back to interview me,2015-02-21 10:48:00 -0800,,-1,"[1, 0, 0]"
89,positive,@jetblue i wish you all the best of luck :-) i'm enjoying the luxurious free!! amount of leg space rn. thanks,2015-02-23 06:55:01 -0800,,1,"[0, 0, 1]"
90,neutral,"@jetblue hi there, any rough idea of when january 2016 flights will be made available?",2015-02-24 04:22:48 -0800,,0,"[0, 1, 0]"
91,positive,@virginamerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,2015-02-23 00:21:40 -0800,"Near a park, water, or lights",1,"[0, 0, 1]"
92,neutral,@united following,2015-02-21 17:30:40 -0800,"New Haven, CT",0,"[0, 1, 0]"
93,positive,@virginamerica flying lax to sfo and after looking at the awesome movie lineup i actually wish i was on a long haul.,2015-02-17 08:48:29 -0800,Living in a Gangsters Paradise,1,"[0, 0, 1]"
94,positive,@jetblue definitely!,2015-02-19 07:06:51 -0800,"Long Island, NY",1,"[0, 0, 1]"
95,positive,@southwestair - just talking to customer service @united makes me appreciate you even more!  they could learn so much from you!,2015-02-17 11:54:28 -0800,Washington DC,1,"[0, 0, 1]"
96,positive,@united thanks we'll be in touch!,2015-02-23 18:02:46 -0800,Ottawa,1,"[0, 0, 1]"
97,positive,@united thank you! love united!! have 4 flights today!,2015-02-18 13:51:51 -0800,,1,"[0, 0, 1]"
98,negative,@virginamerica flight 404 delayed 2 hours in la due to mechanical problems. handle like pros but you could have tossed us a free drink.,2015-02-21 13:28:49 -0800,CT,-1,"[1, 0, 0]"
99,negative,@united site errored out at last step of changing award. now can't even pull up reservation. 60 minute wait time.  thanks @united!,2015-02-21 07:51:53 -0800,,-1,"[1, 0, 0]"
100,positive,@united wins top marks for customer service via twitter. they turned a poor experience into a positive. many thanks for the effort! 👍,2015-02-20 15:54:20 -0800,"Kenosha, WI",1,"[0, 0, 1]"
101,neutral,😩😂😂😂😂 “@jetblue: our fleet's on fleek. http://t.co/yco9dikpt9”,2015-02-23 10:15:31 -0800,STX ✈️ MIA ,0,"[0, 1, 0]"
102,negative,@united 1k use to be special.  80 people in group one.   why not board global and 1k together? http://t.co/qd2lyuxazg,2015-02-19 12:37:44 -0800,"bettendorf, ia",-1,"[1, 0, 0]"
103,positive,@jetblue great service from pbi to hpn! thanks.,2015-02-22 06:26:34 -0800,,1,"[0, 0, 1]"
104,positive,"@southwestair never mind, i moved my flight to tomorrow. thanks for the help!",2015-02-24 10:45:47 -0800,,1,"[0, 0, 1]"
105,positive,"@jetblue loved the service from the staff at newark today. 

good service goes along way.

i appreciate your preciation  

nj ✈️tampa 

🔵🔵🔵",2015-02-23 12:28:55 -0800,,1,"[0, 0, 1]"
106,negative,@lindaswc @united:  we don't like to hear you had a poor experience. please share details w/our customer care team http://t.co/hisc4ndmgz.,2015-02-23 22:31:26 -0800,"Ottawa, Canada",-1,"[1, 0, 0]"
107,negative,@virginamerica site down? #help,2015-02-21 11:06:53 -0800,,-1,"[1, 0, 0]"
108,positive,@southwestair y'all are fast we already have our 5 winners! congrats!!,2015-02-21 11:55:19 -0800,"Dallas, Texas",1,"[0, 0, 1]"
109,negative,"@united yes, after landing at 930pm last night. spoke to 10 baggage claim customer service reps. finally spoke to one amazing ticket agent.",2015-02-21 15:39:00 -0800,"Hoboken, NJ",-1,"[1, 0, 0]"
110,positive,@jetblue wish everyone felt like you,2015-02-24 06:18:01 -0800,"NY,NY",1,"[0, 0, 1]"
111,negative,@united when will email address/username sign-on be available? it's been a while.,2015-02-24 09:41:46 -0800,945XX to 111XX,-1,"[1, 0, 0]"
112,negative,@united we had four scheduled flights on this reservation and literally did not take one! unreal,2015-02-23 09:14:32 -0800,,-1,"[1, 0, 0]"
113,neutral,"😢😢 rt“@jetblue: @peaches275 oh no! unfortunately, the code must be entered at the time of purchase in order to qualify for the points.”",2015-02-19 14:30:54 -0800,New Jet City,0,"[0, 1, 0]"
114,positive,@southwestair good to be back. see you all again in several weeks.,2015-02-22 11:55:15 -0800,#DFWLittleRockMempLAVegas#MS#,1,"[0, 0, 1]"
115,negative,@united i bet @southwestair doesn't turn a thirty minute delay on an original flight into a 7+ hour delayed arrive time,2015-02-18 18:36:35 -0800,"Houston, TX",-1,"[1, 0, 0]"
116,positive,@americanair well done all of you xx,2015-02-23 11:16:24 -0800,Scotland,1,"[0, 0, 1]"
117,neutral,@southwestair how much is ur wifi fam,2015-02-23 17:59:00 -0800,CT,0,"[0, 1, 0]"
118,positive,"@united you all do a wonderful job today. got my wife, daughter, and myself from pgh to orlando after out flight was delayed luggage and all",2015-02-22 15:28:01 -0800,Pittsburgh ,1,"[0, 0, 1]"
119,neutral,@united i left headphones in 2a on ua4689 from yhz-ewr. it's a long shot to see them again. but worth a tweet anyway!,2015-02-20 09:06:32 -0800,YHZ,0,"[0, 1, 0]"
120,neutral,@southwestair my bag was late flight-checked and put on a different flight from oak-&gt;msy. having troubles tracking it down. any help?,2015-02-17 21:33:33 -0800,"Oakland, CA",0,"[0, 1, 0]"
121,negative,"@united coach interior on ua 992 looked like it was salvaged from the 80s. tiny unusable video, no power &amp; lifevests on the floor #ua992 …",2015-02-23 00:34:35 -0800,New York/New Jersey,-1,"[1, 0, 0]"
122,neutral,@united keep me updated. let me know that the bags make the flight to j-burg,2015-02-23 23:20:45 -0800,"mentor, Ohio",0,"[0, 1, 0]"
123,negative,@united my last call your customer service agent called me back... as he was stuck on hold to air canada.. just hope he's booked me a flight,2015-02-22 12:42:41 -0800,Cheltenham,-1,"[1, 0, 0]"
124,negative,@united is synonymous to with #rude. and #cheap. you really don't know how to value the customer,2015-02-22 14:04:55 -0800,"Houston, TX",-1,"[1, 0, 0]"
125,positive,stop. please. rt @jetblue: our fleet's on fleek. http://t.co/eul6sdurbu,2015-02-23 15:51:11 -0800,"Houston, TX",1,"[0, 0, 1]"
126,neutral,@united anything yet jj?,2015-02-20 11:22:36 -0800,"Atlanta, GA",0,"[0, 1, 0]"
127,positive,@united please than robin at ewr premiere desk for helping me get on a an earlier flight. she did the work.  huge thanks.,2015-02-23 12:14:17 -0800,"Edison, NJ",1,"[0, 0, 1]"
128,positive,@virginamerica just got on the 1pm in newark home to la. your folks at ewr are incredible #letsgohome,2015-02-17 09:49:13 -0800,"Los Angeles, CA",1,"[0, 0, 1]"
129,positive,@southwestair listening center is open seating just like on their planes. #ragandisney,2015-02-19 08:02:03 -0800,,1,"[0, 0, 1]"
130,negative,@united updated a320 aircraft has wifi and device entertainment but no outlets. i don't get it. how can i charge devices?,2015-02-23 19:07:58 -0800,,-1,"[1, 0, 0]"
131,negative,@united a broken luggage and a mild case of food poisoning from ua5 lhr-iah. who can i email about this?,2015-02-21 14:26:49 -0800,"Mexico City, Mexico",-1,"[1, 0, 0]"
132,neutral,"@southwestair guys, we've got to do something about the inability to check in online for international  flight that has... (1/2)",2015-02-17 06:13:38 -0800,"Downtown Dallas, Texas",0,"[0, 1, 0]"
133,negative,@united you are offering us 8 rooms for 32 people #fail,2015-02-23 22:03:24 -0800,"Ottawa, Canada",-1,"[1, 0, 0]"
134,positive,@jetblue thank you very very much!! 💙💙,2015-02-19 19:24:43 -0800,NY,1,"[0, 0, 1]"
135,neutral,but why rt @jetblue: our fleet's on fleek. http://t.co/w0hoaewhws,2015-02-23 12:03:46 -0800,new york,0,"[0, 1, 0]"
136,positive,@virginamerica sounds like fun !,2015-02-21 10:12:25 -0800,"CALIFORNIA, USA",1,"[0, 0, 1]"
137,negative,@united no wifi on flight ua688. sf to ord. really?  wow,2015-02-20 07:56:07 -0800,,-1,"[1, 0, 0]"
138,negative,"@united i need you to get my cousin to pdx, she's on 2 days of travel now and we've had to hire other sitters til she arrives, thx for that",2015-02-19 07:36:56 -0800,"Portland, OR",-1,"[1, 0, 0]"
139,neutral,@jetblue unveils new 'bluemanity' livery - usa today http://t.co/ueggkn79za,2015-02-18 22:05:05 -0800,USA,0,"[0, 1, 0]"
140,neutral,@southwestair sent,2015-02-20 08:39:39 -0800,,0,"[0, 1, 0]"
141,negative,@united unavailable leg that registered hours after being sold out. only option to offer after 45min was +$400/ticket or travelocity (2of2),2015-02-18 21:59:12 -0800,"Austin, TX",-1,"[1, 0, 0]"
142,negative,"@united 2100$ ticket,12h biz trvl,no wifi.missed con flt,next one#24h,missed meeting,7$ food voucher,hotel chkout#12,flt#5,no wifi#hotel",2015-02-22 04:19:30 -0800,,-1,"[1, 0, 0]"
143,neutral,@united i just booked a flight for (2). when i view my reservation it has mi connected to first name. is this a problem? can it be changed?,2015-02-22 20:59:11 -0800,,0,"[0, 1, 0]"
144,positive,"@southwestair oh my gosh seriously?! you just made my day, week, year!!! no one will appreciate this more than me!!!",2015-02-18 07:54:26 -0800,"Salt Lake City, UT",1,"[0, 0, 1]"
145,neutral,@united when southwest did this to us -- a mechanical problem at least they gave us round trip vouchers. will you step up to the plate flight too?,2015-02-18 12:14:10 -0800,"Jersey City, NJ",0,"[0, 1, 0]"
146,negative,@united is it even legal for you guys to advertise flights that you cant honor??,2015-02-22 21:03:42 -0800,H-town,-1,"[1, 0, 0]"
147,positive,"@americanair ok, thanks you! have a great night aa team!",2015-02-22 16:29:04 -0800,Rive-sud de Montréal,1,"[0, 0, 1]"
148,negative,"@united you can't control turbulence, but you can control customer experience, lot of scared people up here.",2015-02-23 06:20:09 -0800,"Stumptown, Baby!",-1,"[1, 0, 0]"
149,negative,@united help? invest more in your planes and your people and less in stock buybacks and executive pay. maybe then you would not disappoint.,2015-02-21 12:56:38 -0800,San Francisco,-1,"[1, 0, 0]"
150,positive,@jetblue you don't remember our date monday night back to nyc? #heartbroken,2015-02-19 21:20:35 -0800,manhattan. ,1,"[0, 0, 1]"
151,neutral,@united pick,2015-02-21 21:27:05 -0800,"Wake Forest, NC",0,"[0, 1, 0]"
152,positive,@southwestair so happy that you can finally put your #southwestairlines boarding pass into passbook! makes life so much easier ✈️,2015-02-20 16:09:34 -0800,Los Angeles,1,"[0, 0, 1]"
153,negative,@united i knew i should've flew @virginamerica lol,2015-02-18 16:23:28 -0800,I'm just a kid from Oak Harbor,-1,"[1, 0, 0]"
154,negative,"@united i asked a legitimate question about systemwide vs. localized problems, and got back an unrelate flightd copy/paste. you can do better.",2015-02-24 06:43:55 -0800,Above the B/D/N/Q/R/2/3/4/5,-1,"[1, 0, 0]"
155,positive,@jetblue mission accomplished: gave @paulgordonbrown  a hug http://t.co/lt1pykfvrq,2015-02-21 09:22:38 -0800,"Virginia Beach, VA",1,"[0, 0, 1]"
156,positive,@usairways we will...sunday! just a few days away,2015-02-19 21:34:51 -0800,"New York, New York",1,"[0, 0, 1]"
157,positive,"@jetblue another awesome telephone experience with @jetblue thank you, cory! #greatcustomerservice✈☺",2015-02-21 17:14:29 -0800,,1,"[0, 0, 1]"
158,negative,"@united rarely ceases to amaze...for the worse.  i hope this is the last time i ""have"" to fly with you.",2015-02-23 14:36:24 -0800,san francisco,-1,"[1, 0, 0]"
159,negative,@united installed and working are not the same. kicked me out after an hour and wouldn't let me back in. four wasted hours.,2015-02-19 13:43:39 -0800,"Silver Spring,MD",-1,"[1, 0, 0]"
160,negative,"@united has been showing the same tone deaf video for all these years about how ""wifi is coming!"" hah.not before i leave. @virginamerica ftw",2015-02-21 21:51:57 -0800,"Brookline, Massachusetts",-1,"[1, 0, 0]"
161,positive,@southwestair making miracles again! the customer service department gave me by far one of the friendliest phone calls ever. #wheelsup,2015-02-19 16:49:15 -0800,Chicago,1,"[0, 0, 1]"
162,positive,"@jetblue friendly, engaging, personable, handled clarifying questions about baggage fees well, and took an interest in what i was doing.",2015-02-18 10:32:46 -0800,"Mill Creek, WA",1,"[0, 0, 1]"
163,positive,@southwestair dm sent. thanks for the help!,2015-02-21 10:51:56 -0800,"San Diego, CA",1,"[0, 0, 1]"
164,positive,@jetblue thanks for the quick response! fingers crossed the plane gets here then,2015-02-22 17:33:48 -0800,New York City,1,"[0, 0, 1]"
165,neutral,@jetblue do you know when the schedule for dec 2015 will be released?,2015-02-20 14:05:29 -0800,Oregon,0,"[0, 1, 0]"
166,negative,@united how do i formally complain about your customer service handler who misconnected me. i was denied boarding &amp; i now lost my bag. help!,2015-02-23 10:10:19 -0800,"Stockholm, Sweden ",-1,"[1, 0, 0]"
167,negative,@united thanks for ruining my wedding anniversary. flight ua4904 from ewr to rdu is delayed by over 3 hours and will reach home the nxt day,2015-02-19 20:13:46 -0800,"Raleigh-Durham, NC USA",-1,"[1, 0, 0]"
168,negative,@united that's correct—i've spent hours trying to book online only to receive an error when clicking final purchase button. (1/2),2015-02-23 18:53:20 -0800,"Brooklyn, NY",-1,"[1, 0, 0]"
169,positive,@southwestair luv ya too!!!!  i will sing a song for y'all when i finally get on that plane back to nashville!!! #lovesouthwestair,2015-02-17 09:55:44 -0800,"Nashville, TN",1,"[0, 0, 1]"
170,neutral,@southwestair any spare tickets for vegas? would be forever grateful! #destinationdragons,2015-02-20 14:00:21 -0800,"Las Vegas, NV",0,"[0, 1, 0]"
171,positive,@usairways finally rectified my flight situation! thanks again,2015-02-18 17:39:45 -0800,,1,"[0, 0, 1]"
172,negative,@united i'll try it. mileage programs have historically been a lifeline for us world-hungry travelers of moderate means.,2015-02-22 13:13:51 -0800,"ÜT: 42.986193,-87.914855",-1,"[1, 0, 0]"
173,positive,@united thanks for listening! i definitely was not the only person in line who thought it was absurd.,2015-02-23 13:02:17 -0800,,1,"[0, 0, 1]"
174,positive,"@virginamerica has getaway deals through may, from $59 one-way. lots of cool cities http://t.co/b2xi4yg5t8 #cheapflights #farecompare",2015-02-23 06:57:24 -0800,"New York City, NY",1,"[0, 0, 1]"
