,airline_sentiment,text,tweet_created,tweet_location,score,one_hot_score
34,positive,@virginamerica this is great news!  america could start flights to hawaii by end of year http://t.co/r8p2zy3fe4 via @pacificbiznews,2015-02-23 20:24:33 -0800,Texas,1,"[0, 0, 1]"
35,neutral,nice rt @virginamerica: vibe with the moodlight from takeoff to touchdown. #moodlitmonday #sciencebehindtheexperience http://t.co/y7o0unxtqp,2015-02-23 18:46:00 -0800,Worldwide,0,"[0, 1, 0]"
36,positive,@virginamerica moodlighting is the only way to fly! best experience ever! cool and calming. 💜✈ #moodlitmonday,2015-02-23 18:43:35 -0800,Central Texas,1,"[0, 0, 1]"
37,positive,"@virginamerica @freddieawards done and done! best airline around, hands down!",2015-02-23 18:19:47 -0800,Central Texas,1,"[0, 0, 1]"
38,neutral,@virginamerica when can i book my flight to hawaii??,2015-02-23 17:54:09 -0800,i'm creating a monster ,0,"[0, 1, 0]"
39,negative,@virginamerica your chat support is not working on your site: http://t.co/vhp2gtdwpk,2015-02-23 17:41:58 -0800,"San Francisco, CA",-1,"[1, 0, 0]"
40,positive,"@virginamerica view of downtown los angeles, the hollywood sign, and beyond that rain in the mountains! http://t.co/dw5nf0ibtr",2015-02-23 17:32:54 -0800,,1,"[0, 0, 1]"
41,negative,"@virginamerica hey, first time flyer next week - excited! but i'm having a hard time getting my flights added to my elevate account. help?",2015-02-23 17:00:40 -0800,Iowa City,-1,"[1, 0, 0]"
42,neutral,@virginamerica plz help me win my bid upgrade for my flight 2/27 lax---&gt;sea!!!  🍷👍💺✈️,2015-02-23 16:24:11 -0800,Los Angeles,0,"[0, 1, 0]"
43,neutral,@virginamerica i have an unused ticket but moved to a new city where you don't fly. how can i fly with you before it expires? #travelhelp,2015-02-23 16:20:38 -0800,Georgia,0,"[0, 1, 0]"
44,neutral,@virginamerica are flights leaving dallas for seattle on time feb 24?,2015-02-23 16:13:09 -0800,,0,"[0, 1, 0]"
45,positive,@virginamerica i'm #elevategold for a good reason: you rock!!,2015-02-23 16:08:07 -0800,Los Angeles,1,"[0, 0, 1]"
46,neutral,@virginamerica  dream http://t.co/oa2drfaoq2 http://t.co/lwwdac2khx,2015-02-23 16:04:28 -0800,Turks and caicos,0,"[0, 1, 0]"
47,positive,@virginamerica wow this just blew my mind,2015-02-23 16:01:25 -0800,Oakland via Midwest ,1,"[0, 0, 1]"
48,neutral,@virginamerica @ladygaga @carrieunderwood after last night #tribute #soundofmusic #oscars2015 @ladygaga! i think @carrieunderwood agree,2015-02-23 16:01:17 -0800,"New York, NY",0,"[0, 1, 0]"
49,neutral,@virginamerica @ladygaga @carrieunderwood all were entertaining,2015-02-23 15:58:00 -0800,,0,"[0, 1, 0]"
50,neutral,"@virginamerica is flight 769 on it's way? was supposed to take off 30 minutes ago. website still shows ""on time"" not ""in flight"". thanks.",2015-02-23 15:55:18 -0800,Worldwide,0,"[0, 1, 0]"
51,positive,@virginamerica @ladygaga @carrieunderwood julie andrews all the way though @ladygaga was very impressive! no to @carrieunderwood,2015-02-23 15:46:46 -0800,Northern Virginia,1,"[0, 0, 1]"
52,neutral,@virginamerica wish you flew out of atlanta... soon?,2015-02-23 15:36:51 -0800,Los Angeles / Atlanta,0,"[0, 1, 0]"
53,neutral,@virginamerica @ladygaga @carrieunderwood julie andrews. hands down.,2015-02-23 15:24:09 -0800,,0,"[0, 1, 0]"
54,neutral,@virginamerica will flights be leaving dallas for la on february 24th?,2015-02-23 15:19:41 -0800,,0,"[0, 1, 0]"
55,negative,@virginamerica hi! i'm so excited about your $99 lga-&gt;dal deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,2015-02-23 15:05:09 -0800,"new york, new york",-1,"[1, 0, 0]"
56,positive,@virginamerica you know it. need it on my spotify stat #guiltypleasures,2015-02-23 15:04:29 -0800,"brooklyn, Ny",1,"[0, 0, 1]"
57,positive,@virginamerica @ladygaga @carrieunderwood  i'm lady gaga!!! she is amazing! 😊,2015-02-23 14:40:33 -0800,"Bali, Republic of Indonesia",1,"[0, 0, 1]"
58,neutral,@virginamerica @ladygaga @carrieunderwood - carrie!,2015-02-23 14:40:19 -0800,"UK, USA. ",0,"[0, 1, 0]"
59,neutral,@virginamerica new marketing song? https://t.co/f2lfulcbq7 let us know what you think?,2015-02-23 14:37:42 -0800,"Gold Coast, Australia",0,"[0, 1, 0]"
60,neutral,@virginamerica @ladygaga @carrieunderwood julie andrews first but lady gaga wow'd me last night. carrie? meh.,2015-02-23 14:36:58 -0800,"Stockton, CA",0,"[0, 1, 0]"
61,negative,@virginamerica i called a 3-4 weeks ago about adding 3 flights from 2014 to my elevate...they still haven't shown up...help!,2015-02-23 14:35:50 -0800,"New York, NY",-1,"[1, 0, 0]"
62,neutral,"@virginamerica @ladygaga @carrieunderwood all are great , but i have to go with #carrieunderwood 😍👌",2015-02-23 14:30:13 -0800,,0,"[0, 1, 0]"
63,neutral,"@virginamerica @ladygaga @carrieunderwood sorry, mary martin had it first!",2015-02-23 14:26:53 -0800,"Twin Cities, Minn.",0,"[0, 1, 0]"
64,positive,@virginamerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,2015-02-23 14:25:09 -0800,,1,"[0, 0, 1]"
65,neutral,@virginamerica flight 0736 dal to dca 2/24 2:10pm. tried to check in could not. status please.,2015-02-23 14:09:06 -0800,USA,0,"[0, 1, 0]"
66,negative,@virginamerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,2015-02-23 13:46:30 -0800,next city,-1,"[1, 0, 0]"
67,negative,"@virginamerica hi, virgin! i'm on hold for 40-50 minutes -- are there any earlier flights from la to nyc tonight; earlier than 11:50pm?",2015-02-23 13:35:23 -0800,SF ↔ NY,-1,"[1, 0, 0]"
68,positive,@virginamerica congrats on winning the @travelzoo award for best deals from an airline (us) http://t.co/kj1iljaebv,2015-02-23 13:30:10 -0800,"New York, NY",1,"[0, 0, 1]"
69,negative,@virginamerica everything was fine until you lost my bag,2015-02-23 13:08:21 -0800,New York + Panama,-1,"[1, 0, 0]"
70,neutral,@virginamerica need to change reservation. have virgin credit card. do i need to modify on phone to waive change fee? or can i do online?,2015-02-23 12:47:52 -0800,"San Francisco, CA",0,"[0, 1, 0]"
71,neutral,@virginamerica i emailed your customer service team. let me know if you need the tracking number.,2015-02-23 12:00:17 -0800,Los Angeles,0,"[0, 1, 0]"
72,neutral,"@virginamerica hi i just booked a flight but need to add baggage, how can i do this?",2015-02-23 11:56:37 -0800,"London, England",0,"[0, 1, 0]"
73,negative,@virginamerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0vrfhjht,2015-02-23 11:46:16 -0800,Los Angeles,-1,"[1, 0, 0]"
74,positive,"@virginamerica not worried, it's been a great ride in a new plane with great crew. all airlines should be like this.",2015-02-23 11:32:31 -0800,Floridian from Cincinnati ,1,"[0, 0, 1]"
75,positive,@virginamerica awesome. i flew yall sat morning. any way we can correct my bill ?,2015-02-23 11:28:46 -0800,"Dallas, Texas",1,"[0, 0, 1]"
76,neutral,"@virginamerica or watch some of the best student films in the country at 35,000 feet! #cmfat35000feet http://t.co/kek5pdmgif",2015-02-23 11:24:18 -0800,USA,0,"[0, 1, 0]"
77,neutral,@virginamerica first time flying you all. do you have a different rate/policy for media bags? thanks,2015-02-23 11:22:16 -0800,"Dallas, Texas",0,"[0, 1, 0]"
78,negative,@virginamerica what is going on with customer service? is there anyway to speak to a human asap? thank you.,2015-02-23 11:02:02 -0800,,-1,"[1, 0, 0]"
79,neutral,@virginamerica what happened to doom?!,2015-02-23 10:58:43 -0800,,0,"[0, 1, 0]"
80,negative,@virginamerica why can't you supp the biz traveler like @southwestair  and have customer service like @jetblue #neverflyvirginforbusiness,2015-02-23 10:56:25 -0800,,-1,"[1, 0, 0]"
81,positive,@virginamerica i've applied more then once to be a member of the #inflight crew team...im 100% interested. #flightattendant #dreampath -g,2015-02-23 10:56:16 -0800,"Seattle, WA",1,"[0, 0, 1]"
82,negative,@virginamerica you're the best!! whenever i (begrudgingly) use any other airline i'm delayed and late flight :(,2015-02-23 10:54:47 -0800,Los Angeles,-1,"[1, 0, 0]"
83,negative,@virginamerica i have no interesting flying with you after this. i will cancelled flight my next four flights i planned.#neverflyvirginforbusiness,2015-02-23 10:54:36 -0800,,-1,"[1, 0, 0]"
84,negative,@virginamerica it was a disappointing experience which will be shared with every business traveler i meet. #neverflyvirgin,2015-02-23 10:38:14 -0800,,-1,"[1, 0, 0]"
85,negative,@virginamerica i’m having trouble adding this flight my wife booked to my elevate account. help? http://t.co/px8hqoks3r,2015-02-23 10:29:19 -0800,"Lower Pacific Heights, SF, CA",-1,"[1, 0, 0]"
86,neutral,@virginamerica can't bring up my reservation online using flight booking problems code,2015-02-23 10:15:00 -0800,Chicago,0,"[0, 1, 0]"
87,neutral,@virginamerica random q: what's the distribution of elevate avatars? i bet that kitty has a disproportionate share http://t.co/aptzpurop4,2015-02-23 10:09:30 -0800,,0,"[0, 1, 0]"
88,neutral,@virginamerica i &lt;3 flying va but life happens and i am trying to #change my trip jperhi  can you help.va home page will not let me ?,2015-02-23 10:04:47 -0800,"Los Cabos,Mexico",0,"[0, 1, 0]"
89,negative,@virginamerica why is the site down?  when will it be back up?,2015-02-23 09:57:42 -0800,"New York, NY",-1,"[1, 0, 0]"
90,neutral,"@virginamerica ""you down with rnp?"" ""yeah you know me!""",2015-02-23 09:45:23 -0800,,0,"[0, 1, 0]"
91,neutral,"@virginamerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",2015-02-23 09:35:03 -0800,,0,"[0, 1, 0]"
92,negative,@virginamerica i like the tv and interesting video . just disappointed in cancelled flightled flight when other flights went out to jfk on saturday .,2015-02-23 09:29:00 -0800,,-1,"[1, 0, 0]"
93,negative,"@virginamerica just landed in lax, an hour after i should of been here. your no late flight bag check is not business travel friendly #nomorevirgin",2015-02-23 09:28:26 -0800,,-1,"[1, 0, 0]"
94,neutral,@virginamerica why is flight 345 redirected?,2015-02-23 09:26:37 -0800,,0,"[0, 1, 0]"
95,negative,"@virginamerica is it me, or is your website down?  btw, your new website isn't a great user experience.  time for another redesign.",2015-02-23 09:25:41 -0800,"Los Angeles, CA",-1,"[1, 0, 0]"
96,negative,@virginamerica i can't check in or add a bag. your website isn't working. i've tried both desktop and mobile http://t.co/avyqdmpi1y,2015-02-23 09:18:42 -0800,"Austin, TX",-1,"[1, 0, 0]"
97,negative,@virginamerica - let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,2015-02-23 09:11:12 -0800,,-1,"[1, 0, 0]"
98,negative,@virginamerica what is your phone number. i can't find who to call about a flight reservation.,2015-02-23 08:29:21 -0800,"Sterling Heights, MI",-1,"[1, 0, 0]"
99,negative,@virginamerica is anyone doing anything there today?  website is useless and no one is answering the phone.,2015-02-23 08:19:59 -0800,Washington DC,-1,"[1, 0, 0]"
100,neutral,@virginamerica trying to add my boy prince to my ressie. sf this thursday @virginamerica from lax http://t.co/gsb2j3c4gm,2015-02-23 08:19:49 -0800,"Manhattan Beach, CA",0,"[0, 1, 0]"
101,negative,@virginamerica why must a traveler miss a flight to late flight check a bag?  i missed my morning appointments and you lost my business. #sfo2lax,2015-02-23 08:11:03 -0800,,-1,"[1, 0, 0]"
102,neutral,@virginamerica check out new music http://t.co/marcnocwzn,2015-02-23 08:08:08 -0800,Greater Los Angeles,0,"[0, 1, 0]"
103,negative,@virginamerica how's a direct flight fll-&gt;sfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight. #sneaky,2015-02-23 08:08:01 -0800,Floridian from Cincinnati ,-1,"[1, 0, 0]"
104,negative,@virginamerica your no late flight bag check just lost you my business. i missed flight and am apt. three other people on flight had same exp.,2015-02-23 07:51:37 -0800,,-1,"[1, 0, 0]"
105,positive,"@virginamerica - amazing customer  service, again! 💕💕 raeann in sf - she's the best! #customerservice #virginamerica #flying",2015-02-23 07:50:35 -0800,Online,1,"[0, 0, 1]"
106,negative,@virginamerica called your service line and was hung up on. this is awesome. #sarcasm,2015-02-23 07:40:39 -0800,,-1,"[1, 0, 0]"
107,negative,@virginamerica your site is tripping. i'm trying to check in and i'm getting the plain text version. i am reluctant to enter any card info.,2015-02-23 07:40:05 -0800,,-1,"[1, 0, 0]"
108,neutral,@virginamerica i was scheduled for sfo 2 dal flight 714 today. changed to 24th due weather. looks like flight still on?,2015-02-23 07:28:43 -0800,"Dallas, TX",0,"[0, 1, 0]"
109,positive,"@virginamerica has getaway deals through may, from $59 one-way. lots of cool cities http://t.co/tzzjhuibch #cheapflights #farecompare",2015-02-23 06:57:25 -0800,"Washington, DC",1,"[0, 0, 1]"
110,neutral,"@virginamerica has getaway deals through may, from $59 one-way. lots of cool cities http://t.co/rpdbpx3wnd #cheapflights #farecompare",2015-02-23 06:57:24 -0800,Seattle,0,"[0, 1, 0]"
111,positive,"@virginamerica has getaway deals through may, from $59 one-way. lots of cool cities http://t.co/b2xi4yg5t8 #cheapflights #farecompare",2015-02-23 06:57:24 -0800,"New York City, NY",1,"[0, 0, 1]"
112,neutral,"@virginamerica has getaway deals through may, from $59 one-way. lots of cool cities http://t.co/qdljhsloi5 #cheapflights #farecompare",2015-02-23 06:57:24 -0800,"Los Angeles, CA",0,"[0, 1, 0]"
113,positive,@virginamerica have a great week 🌞✈,2015-02-23 06:51:01 -0800,,1,"[0, 0, 1]"
114,positive,@virginamerica come back to #phl already. we need you to take us out of this horrible cold. #pleasecomeback http://t.co/glxfwp6nqh,2015-02-23 06:07:54 -0800,Earth,1,"[0, 0, 1]"
115,negative,"@virginamerica should i be concerned that i am about to fly on a plane that needs to be delayed due to a ""tech stop""?",2015-02-23 05:15:06 -0800,,-1,"[1, 0, 0]"
116,positive,"@virginamerica is the best airline i have flown on.easy to change your reservation,helpful representatives &amp; a comfortable flying experience",2015-02-23 03:01:39 -0800,"Halifax, Nova Scotia, Canada",1,"[0, 0, 1]"
117,positive,@virginamerica and again! another rep kicked butt! naelah represents your team so beautifully!! thank you!!!,2015-02-23 00:35:42 -0800,"Los Angeles, CA",1,"[0, 0, 1]"
118,positive,@virginamerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,2015-02-23 00:21:40 -0800,"Near a park, water, or lights",1,"[0, 0, 1]"
119,positive,"@virginamerica love the team running gate e9 at las tonight. waited for a delayed flight, and they kept things entertaining",2015-02-23 00:06:55 -0800,USA,1,"[0, 0, 1]"
120,negative,@virginamerica use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,2015-02-22 22:39:18 -0800,San Francisco CA,-1,"[1, 0, 0]"
121,negative,"@virginamerica and now the flight flight booking problems site is totally down. folks, what is the problem?",2015-02-22 22:11:07 -0800,San Francisco CA,-1,"[1, 0, 0]"
122,negative,@virginamerica i like the customer service but a 40 min delay just for connecting passengers seems too long. va370,2015-02-22 21:56:44 -0800,,-1,"[1, 0, 0]"
123,positive,@virginamerica thanks to your outstanding nyc-jfk crew who moved mountains to get me home to san francisco tonight!,2015-02-22 20:23:27 -0800,San Francisco,1,"[0, 0, 1]"
124,positive,@virginamerica you have the absolute best team and customer service ever.  every time i fly with you i'm delighted.  thank you!,2015-02-22 17:48:33 -0800,,1,"[0, 0, 1]"
125,neutral,"@virginamerica do you provide complimentary upgrades to first class, if there are available seats?",2015-02-22 17:45:25 -0800,New York,0,"[0, 1, 0]"
126,negative,@virginamerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. im calling intern. help!!,2015-02-22 17:14:06 -0800,NYC,-1,"[1, 0, 0]"
127,positive,@virginamerica completely awesome experience last month bos-las nonstop. thanks for such an awesome flight and depart time. #vabeatsjblue,2015-02-22 16:18:33 -0800,,1,"[0, 0, 1]"
128,neutral,@virginamerica how can i watch the #oscars2015 on my jfk-&gt;sfo flight?,2015-02-22 16:05:07 -0800,"San Francisco, CA",0,"[0, 1, 0]"
129,neutral,@virginamerica is flight 882 cancelled flightled and what do i do if it is?,2015-02-22 15:41:51 -0800,,0,"[0, 1, 0]"
130,negative,@virginamerica you are failing your customers because your check in process does not link to tsa pre-check.,2015-02-22 15:40:12 -0800,,-1,"[1, 0, 0]"
131,negative,@virginamerica @fidifamilies us too! terrible airline! just gave us a hotel hotline number and said sorry,2015-02-22 15:06:19 -0800,,-1,"[1, 0, 0]"
132,neutral,@virginamerica has flight number 276 from sfo to cabo san lucas arrived yet?,2015-02-22 15:03:35 -0800,"Sacramento,California",0,"[0, 1, 0]"
133,negative,@virginamerica @chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you!,2015-02-22 15:02:11 -0800,,-1,"[1, 0, 0]"
134,negative,@virginamerica another delayed flight? #likingyoulessandless,2015-02-22 14:49:31 -0800,San Diego,-1,"[1, 0, 0]"
135,negative,@virginamerica i need to register a service dog for a first class ticket from sfo &gt; dulles. the phone queue is an hour or longer. pls advise,2015-02-22 14:39:09 -0800,"Oakland, California",-1,"[1, 0, 0]"
136,positive,@virginamerica you rock for making it so i can watch #oscars on my flight!! #redcarpet #oscars #oscars2015,2015-02-22 14:32:14 -0800,,1,"[0, 0, 1]"
137,neutral,"@virginamerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6trk9",2015-02-22 14:31:43 -0800,,0,"[0, 1, 0]"
138,positive,@virginamerica always!!! xoxo,2015-02-22 14:09:50 -0800,All Over!,1,"[0, 0, 1]"
139,negative,@virginamerica why can't we book seats on your flights when we buy them or even during check in? creates so much anxiety! #frustrated,2015-02-22 14:07:43 -0800,"Providence, RI",-1,"[1, 0, 0]"
140,negative,@virginamerica you'd think paying an extra $100 bucks rt for luggage might afford you hiring an extra hand at @sfo #lame,2015-02-22 14:03:34 -0800,San Diego,-1,"[1, 0, 0]"
141,positive,@virginamerica best customer service rep in the world! #irmafromdallas takes the cake!!!,2015-02-22 13:55:28 -0800,"Los Angeles, CA",1,"[0, 0, 1]"
142,neutral,@virginamerica can you find us a flt out of lax that is sooner than midnight on monday? that would be great customer service 😃,2015-02-22 13:49:59 -0800,New York City ,0,"[0, 1, 0]"
143,negative,@virginamerica please provide status for flight 769.  i cant imagine it's on time as the web indicates  dude to weather here and/or dallas,2015-02-22 13:47:02 -0800,New York,-1,"[1, 0, 0]"
144,positive,@virginamerica you have amazing staff &amp; super helpful as i just ran the @waltdisneyworld #princesshalf they have spoiled me with comfort!!!,2015-02-22 13:45:41 -0800,All Over!,1,"[0, 0, 1]"
145,negative,"@virginamerica i paid the premium to fly you across the country, you cancelled flight my flight and offer no check fee or upgrade love? sad face :(",2015-02-22 13:29:34 -0800,"iPhone: 29.741360,-90.131523",-1,"[1, 0, 0]"
146,negative,@virginamerica question: is it not possible to book a seat for an infant under 2? it's not giving me the option but we want a seat for him.,2015-02-22 13:23:03 -0800,Los Angeles,-1,"[1, 0, 0]"
147,positive,always have it together!!! you're welcome! rt @virginamerica: @jessicajaymes you're so welcome.,2015-02-22 12:49:25 -0800,"hollywood, california",1,"[0, 0, 1]"
148,positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/vx9vbctdlf,2015-02-22 12:35:49 -0800,"Washington, DC",1,"[0, 0, 1]"
149,negative,.@virginamerica i don't understand why you need a dm to give me an answer on if you have a damaged luggage policy.,2015-02-22 12:34:26 -0800,Las Vegas,-1,"[1, 0, 0]"
150,negative,.@virginamerica does that mean you don't have a policy for destroyed luggage?,2015-02-22 12:27:38 -0800,Las Vegas,-1,"[1, 0, 0]"
151,neutral,@virginamerica is there special assistance if i travel alone w/2 kids and 1 infant? priority boarding?,2015-02-22 11:56:57 -0800,,0,"[0, 1, 0]"
152,positive,@virginamerica thank you for checking in. tickets are purchased and customer is happy ;-),2015-02-22 11:33:40 -0800,San Francisco,1,"[0, 0, 1]"
153,neutral,@virginamerica is your website ever coming back online?,2015-02-22 11:13:18 -0800,,0,"[0, 1, 0]"
154,neutral,"@virginamerica  - is flight 713 from love field to sfo definitely cancelled flightled for monday, february 23?",2015-02-22 11:10:37 -0800,,0,"[0, 1, 0]"
155,neutral,@virginamerica is flight 0769 out of lga to dfw on time?,2015-02-22 11:10:30 -0800,,0,"[0, 1, 0]"
156,neutral,@virginamerica my drivers license is expired by a little over a month. can i fly friday morning using my expired license?,2015-02-22 11:10:27 -0800,,0,"[0, 1, 0]"
157,negative,@virginamerica having problems flight booking problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,2015-02-22 11:02:26 -0800,San Francisco,-1,"[1, 0, 0]"
158,negative,@virginamerica how do i reschedule my cancelled flightled flights online? the change button is greyed out!,2015-02-22 11:01:38 -0800,CA,-1,"[1, 0, 0]"
159,negative,"@virginamerica i rang, but there is a wait for 35 minutes!! i can book the same ticket through a vendor, fix your site",2015-02-22 10:38:45 -0800,@ the moment in New Delhi,-1,"[1, 0, 0]"
160,negative,"@virginamerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 tomorrow. this is unacceptable.",2015-02-22 10:30:17 -0800,Brooklyn,-1,"[1, 0, 0]"
161,negative,"@virginamerica our flight into lga was cancelled flighted. we're stuck in dallas. i called to reschedule, told i could get a flight for today...(1/2)",2015-02-22 10:29:19 -0800,Brooklyn,-1,"[1, 0, 0]"
162,negative,@virginamerica why don't any of the pairings include red wine?! only white is offered :( #redwineisbetter,2015-02-22 10:19:45 -0800,"Washington, DC",-1,"[1, 0, 0]"
163,negative,@virginamerica is the website down?,2015-02-22 08:56:00 -0800,Los Angeles,-1,"[1, 0, 0]"
164,negative,@virginamerica - your site seems a little wonked right now. may want to have a look. tried on two browsers. no css? http://t.co/8qsqmm7kf2,2015-02-22 08:53:08 -0800,,-1,"[1, 0, 0]"
165,negative,@virginamerica i'm disappointed that the agent at the designated silver status check in line @dulles_airport closed to assist all pasengers,2015-02-22 05:51:43 -0800,"Washington, DC",-1,"[1, 0, 0]"
166,neutral,@virginamerica plans to include austin to its dallas route - topnews arab #emirates http://t.co/aqzwecokk2,2015-02-22 05:02:06 -0800,FL410,0,"[0, 1, 0]"
167,negative,@virginamerica is it normal to receive no reply from central baggage #baggageissues #smh,2015-02-22 04:43:56 -0800,Tokyo,-1,"[1, 0, 0]"
168,negative,@virginamerica at logan airport and waiting to checkin for my 9am flight. checkin desk not open !!!!! why?!,2015-02-22 03:39:28 -0800,"Philadelphia, Pa",-1,"[1, 0, 0]"
